,created_time,message,success
185,2017-11-19T11:13:20.000Z,"Was bringt friedlicher Protest? Kennst du Menschen, die unsere Welt mit Mut und Liebe friedlich verändert haben?

#protest #frieden #veränderung #demonstration #zeichensetzen #demokratie #Gandhi #friedensbewegung #erde",9796
92,2018-03-19T15:08:43.000Z,Eine gute Nachricht 💚 Der Ölkonzern Dea zieht seinen Antrag auf Erkundungsbohrungen im Nationalpark Wattenmeer zurück. 🌊 Die Gefahr eines Ölunfalls besteht bei jeder Bohrung. Das Wattenmeer ist einzigartig und somit besonders schutzbedürftig – es ist keine Spielwiese 🎡 für internationale Investoren. Daher überreichten wir im November 2016 dem Minister in Kiel rund 24.000 Unterschriften 📝 von Tourist*innen und Küstenbewohner*innen gegen die geplanten Ölbohrungen im Wattenmeer. Auch Bürgermeister*innen und Fremdenverkehrsbüros der entlang der Nordseeküste sprachen sich gegen die Bohrungen aus. 🙅,4240
6,2018-06-26T08:32:11.000Z,"Heute Morgen ließen Aktivist*innen um die Berliner Siegessäule die Sonne scheinen. 🌞 Sie forderten damit konsequenten Klimaschutz durch einen raschen Ausstieg aus der Kohle und mehr erneuerbare Energien. Mit 3500 Litern umweltfreundlicher und abwaschbarer Farbe gelang ihnen die Verwandlung. Der neue Anstrich im Berliner Straßenverkehr ist ein farbenfroher Gruß in Richtung der Kohlekommission, die heute ihre Arbeit aufnimmt. Deutschland hat den Ausstieg aus der Kohleenergie verschlafen und hechelt jetzt seinen Klimazielen hinterher. 😓 Die Kohlekommission soll nun klären, wie Deutschland bis zum Jahr 2020 so viel Kohlenstoffdioxid einsparen kann, dass es wieder auf Kurs ist und innerhalb der Leitplanken des Pariser Klimaabkommens bleibt. Dazu soll ein Datum für das Ende der Kohleverstromung in Deutschland festgelegt werden. 🇩🇪 Beziehst du bereits Ökostrom? Schau doch mal in unserer Story vorbei, da gibt es noch mehr Bilder. 👀
.
Foto: 📷 © Greenpeace
.
.
#angela #merkel #quitcoal #wind #sun #greenpeace #jugend #kohle #klimawandel #klimaschutz #kohleausstieg #endcoal #planetearthfirst #fossilenergy #loveourplanet #berlin #protest #activism #kohleabschalten #stopkohle #kohlekommission #igersberlin #berlinstagram #ig_berlin #visit_berlin #germany #berlincity #diestadtberlin #berlinstyle #deutschland",3757
69,2018-04-16T14:27:08.000Z,"Bis 2050 verlieren 140 Millionen Menschen ihre Heimat aufgrund der Klimakrise. 🌍🌡️ Das zeigt eine aktuelle Weltbank-Studie. Schon jetzt sind Menschen von starken Unwettern, steigenden Meeresspiegel oder Dürren bedroht. Auch wenn sich in jedem Einzelfall kein direkter Zusammenhang zum Klimawandel herstellen lässt, erhöht sich die Wahrscheinlichkeit für solche Events. Ausgerechnet Menschen, die wenig zum Klimawandel beigetragen haben, sind betroffen.
.
Etwas mehr als 2 Jahre ist es jetzt her, dass die Staats- und Regierungschefs auf der Pariser Klimakonferenz beschlossen haben, die weltweite Erwärmung des Klimas möglichst auf 1,5 Grad zu begrenzen. Doch was ist seitdem geschehen? Nicht viel. Oder zumindest: viel zu wenig! Viele Regierungen und Unternehmen setzen weiter auf fossile Energien wie Öl und Kohle. In Deutschland 🇩🇪 wird mittlerweile zwar immerhin über einen Kohleausstieg diskutiert. Doch gleichzeitig ist Deutschland auf dem besten Weg, sein Klimaziel 2020, nämlich seine CO2-Emissionen im Vergleich zu 1990 um 40 Prozent zu senken, zu verfehlen.
.
Wie verfolgst du die aktuellen Nachrichten in Sachen Klimaschutz? 💚💪 Was sollte deiner Meinung nach jetzt getan werden? 🤔
.
.
#coal #oil #fossilfuels #ActOnClimate #Philippines #marshallislands #justice #trump #merkel #co2 #climatechange #klimawandel #flucht #Refugees #refugeeswelcome #Menschen #Meer #Sturm #Umweltkatastrophe #sea #future #change #umwelt #hope #displaced #weather #earth #greenpeace #hunger #planet",3465
140,2018-01-21T09:17:53.000Z,"„Wir haben es satt!“ Mit 33.000 Menschen 👥 und über 160 Traktoren 🚜 haben wir gestern bei der Demo #WHES18 in Berlin für eine bessere Landwirtschaft demonstriert. 🐖🐄🐓 Wir forderten laut und mit vielen kreativen Protestschildern eine Agrarwende: fortschrittliche Landwirtschaft, die klima- und tierfreundlich ist. 🐷💚 Der breite Protest zeigt einmal mehr, wie sehr die Menschen eine andere Agrar-Politik ersehnen und sich gerne dafür stark machen.
Konntest du dabei sein? .
Foto: 📷 © @gordonwelters / Greenpeace
.
#factoryfarming #pigs #massentierhaltung #saustall #schweine #billigfleisch #animals #loveanimals #animallover #animalrights #veggie #meatfree #savetheplanet #plantbased #fortheplanet #vegetarian #issgutjetzt #wirhabenessatt #berlin #vegan #tierhaltung #tierleid",2712
175,2017-11-30T17:33:38.000Z,"Greenpeace-Aktivisten demonstrierten heute vor dem Reichstag in Berlin für ein nationales Verbot des Pflanzengifts #Glyphosat. Hintergrund: Anfang dieser Woche hat Landwirtschaftsminister Christian Schmidt (@christlichsozialeunion) im Alleingang für eine 5-jährige Wiederzulassung von Glyphosat entschieden. Statt sich für das Wohl von Umwelt 🌍, Tieren und Menschen einzusetzen, vertritt er die Konzerninteressen von #Monsanto und Bayer. Ohne die JA-Stimme von Deutschland wär es zu keiner EU-weiten Neuzulassung von Glyphosat gekommen.
Der aktuelle Glyphosat-Skandal ist nicht der erste. Im September dieses Jahres wurde bekannt, dass das @BfR seinen Auftrag, eine unabhängige wissenschaftliche Bewertung von Glyphosat vorzulegen, verfehlt hat. Das Institut hatte einfach zentrale Aussagen aus den Zulassungsdokumenten des Glyphosatherstellers Monsanto kopiert. Das BfR wiedersprach in seiner Bewertung der internationalen Agentur für Krebsforschung der @WHO, die das Pflanzengift als „wahrscheinlich krebserregend“ einschätzt.
Glyphosat kommt auf etwa 40 Prozent der deutschen Äcker zum Einsatz und schädigt die Artenvielfalt. Eine gerade veröffentlichte Studie zeigt, dass 50 Prozent der Böden in Europa bereits mit dem Herbizid kontaminiert sind.
Trotz der Zustimmung kann die zukünftige Bundesregierung ein nationales Verbot von Glyphosat durchsetzen. Mehr Informationen und Mitmachaktionen ► www.greenpeace.de
Foto: 📷 Mike Schmidt / Greenpeace
#greenpeace #glyphosat #spd #cdu #savethebees #savetheearth #landwirtschaft #plants #pflanzen #martinschulz #petition #activism #protectnature #naturelovers #bio #protest #reichstag #berlin #aktivismus #savenature #monsanto #bayer #csu #umweltschutz #environment #bienen",2697
9,2018-06-23T10:09:25.000Z,"Heute drücken wir die Daumen für das deutsche Team in Russland! ✊⚽️ Bisher brillierte Deutschland nicht bei der diesjährigen Fußball-WM. Das verhält sich auch ähnlich, wenn es um die schlechte Luft in vielen unserer Städte geht. Da ist Deutschland in der EU eines der Schlusslichter. Somit fragen wir uns: was muss eigentlich noch passieren, bis Kanzlerin Merkel und Minister Scheuer endlich anfangen, die Gesundheit von Millionen Stadtbewohner*innen zu schützen? 😷 Spätestens jetzt müssen die Unionsparteien beginnen, wirksame Maßnahmen wie mehr Geld für den Radverkehr und Unterstützung der Städte beim Ausbau der Öffentlichen Verkehrsmittel voran zu bringen. 🚲🚎 Hast du noch weitere Ideen für die Verbesserung unserer Städte? 🤔
.
.
.
.
#worldcup #instafutbol #worldcup2018 #fifaworldcup #city #stadt #soccergame #goal #russia #mercedes #fußball #verkehrswende #fahrrad #tor #ball #diesel #bicycle #cleanairnow #bike #sauber #clean #greenpeace #cyclinglife #bicyclelife #menschen #auto #autos #picoftheday #luft #merkel",2630
132,2018-01-30T15:22:28.000Z,"Saubere Luft für unsere Lungen! Das forderten heute früh Greenpeace-Aktivist*innen vor der Europäischen Kommission mit einer BodyPainting-Lunge. 🗣👃 Drinnen mussten neun Abgesandte dem EU-Umweltkommissar Karmenu Vella erklären, wie sie in ihren Ländern die Luft verbessern wollen. 💨👆 Das außerordentliche Treffen gilt als letzte Chance für Deutschland und acht weitere EU-Staaten, einer drohenden Klage vor dem europäischen Gerichtshof zu entgehen. ⚖️ Der bereits 2010 eingeführte europäische Grenzwert für Stickstoffdioxid (NO2) wird in etwa 90 deutschen Städten überschritten. Zeit ⏱ zu handeln und klare Maßnahmen 🚲🚎 zu liefern. Für Deutschland ist Umweltministerin Barbara Hendricks mit leeren Händen vor Ort. Somit wird die EU-Kommission 🇪🇺 kaum mehr um eine Klage gegen Deutschland 🇩🇪 herumkommen. Die Bundesregierung darf nicht länger ungestraft die Gesundheit von Millionen Stadtbewohnern gefährden! ❗️
Stickstoffdioxid kann Atemwegserkrankungen wie Asthma und Herzkreislauferkrankungen verursachen und führt laut Europäischer Umweltagentur alleine in Deutschland zu mehr als 12.000 vorzeitigen Todesfällen pro Jahr. Das Reizgas entsteht hauptsächlich im Straßenverkehr, besonders durch Dieselautos. 🚗💨 Was machst du in deinem Alltag, um Abgase in deiner Stadt zu reduzieren? 👇
.
Foto 📷 © Tim Dirven / Greenpeace
.
#car #cars #diesel #merkel #greenpeace #activity #angelamerkel #verkehr #brüssel #belgien #exhaust #mobilität #verkehr #stau #mobility #traffic #cleanair #bundesregierung #airpollution #clearair #abgasskandal #vw #bmw #daimler #dieselgate #airpollution #healthyliving #healthyair #dieselmotor #umwelt",2445
11,2018-06-21T14:06:36.000Z,"Für mehr Klimaschutz und den raschen Ausstieg aus der klimaschädlichen Braunkohle 💩demonstrierten die JAGs (Jugendliche von Greenpeace) vor dem Landtag in Düsseldorf. Anlass für die Demonstration ist auch die jüngste Debatte 🗣 im Nordrhein-Westfälischen Landtag zur Kohlepolitik. Dabei sprach sich der Vorsitzende der CDU-Landtagsfraktion Bodo Löttgen für einen späten Ausstieg aus der Braunkohle im Jahr 2045 aus. Dazu meint die 18-jährige Leona Tauchmann: „Wir müssen künftig ausbaden, was verantwortungslose Politiker heute entscheiden. Das ist ungerecht und ärgert mich.“ 😡 Du kannst dich auch für den Stopp der Kohle stark machen und mit uns am 24. Juni um 11 Uhr in Berlin vor dem Bundestag auf die Straße gehen. 💪Gemeinsam schicken wir ein Zeichen an die Politik und stehen für unseren Planeten ein. Bist du bei der Demo am 24. Juni dabei? 👋
.
Foto: 📷 © Greenpeace
.
.
#angela #merkel #quitcoal #wind #sun #greenpeace #jugend #kohle #klimawandel #klimaschutz #kohleausstieg #endcoal #planetearthfirst #fossilenergy #loveourplanet #düsseldorf #düsseldorfcity #nrw #deutschland #demo #rally #march #protest #activism #politics #government",2213
110,2018-02-24T09:11:35.000Z,"Noch stimmen die Mitglieder der @spdde über die #GroKo ab. Bis zum 1. März ist somit noch nichts wirklich entschieden. Doch laut Koalitionsvertrag, wird künftig kein Glyphosat mehr im Haushalt oder auf Acker versprüht werden dürfen. Ende letzten Jahres hatte der Bundesagrarminister Christian Schmidt von der CSU noch im Alleingang eine europaweite Zulassung befürwortet, doch damit wäre Schluss, wenn die Koalition zustande kommt. „Wir werden mit einer systematischen Minderungsstrategie den Einsatz von glyphosathaltigen Pflanzenschutzmitteln deutlich einschränken, mit dem Ziel, die Anwendung so schnell wie möglich grundsätzlich zu beenden“, heißt es in einem Entwurfspapier der zuständigen Sondierungsgruppe. Bereits 50 Prozent der europäischen Böden sind mit Glyphosat kontaminiert. Das sind schlechte Nachrichten für die Artenvielfalt, 🐝🐛🦋🐌🦗🐜 denn das Herbizid verwandelt Äcker in triste Wüsten und nimmt den Insekten die Nahrungsgrundlage weg.
.
Hoffentlich lassen sie sich mit der Minderung des Pestizids nicht zu viel Zeit.. ⏱ Was hälst du von Glyphosat und den Plänen der möglichen neuen Regierung?
.
Foto: 📷© Mitja Kobal / Greenpeace
.
#glyphosat #großekoaltion #spd #cdu #glyphosate #natur #insekten #blumen #getreide #schönewelt #ourplanetourfuture #umwelt #gesundheit #bio #umweltschutz #activist #activism #volunteer #volunteers #stopglyphosate #greenpeace #landwirtschaft #gesundessen #healthyfood",2029
