,created_time,message,success
7,2018-06-25T14:28:23.000Z,"Plastik? Igitt! 🤢 Alles ist voll damit, meistens gleich zu erkennen wie die Verpackungen in Supermärkten und die Plastikflut an Stränden oder versteckt in kleiner Form aber dadurch nicht minder gefährlich für Mensch, Tier und Natur in Kosmetik, Duschgels oder auch in Waschpulver. ☠️ Schon einmal duschen kann bis zu 100.000 Plastikteilchen ins Abwassersystem spülen. 🛀 Was dieser vermeidbare Plastikmüll mit dem Ökosystem Meer anstellt, und welche Gesundheitsrisiken für uns Menschen bestehen, ist noch nicht ausreichend erforscht – aber genau darum meinen wir: Plastik gehört nichts ins Meer, und damit hat es auch in Kosmetik nichts zu suchen. ☝️Wenn dir die Plastik-Plage auch so auf die Nerven geht, teile das Video in deiner Story! ✅
.
.
#zerowaste #zerowastehome #reduce #reuse #sustainable #ecofriendly #plastic #plastik #greenliving #instadaily #greenpeace #gorgeous #perfect #lovely #nature #allday #diy #BreakFreeFromPlastic #pollution #oceans #sea #ocean #plasticfree #plastikfrei @makesmthng @kleidertausch.de @umweltministerium @greenpeace @plastikfrei_leben @marienasemann",12820
185,2017-11-19T11:13:20.000Z,"Was bringt friedlicher Protest? Kennst du Menschen, die unsere Welt mit Mut und Liebe friedlich verändert haben?

#protest #frieden #veränderung #demonstration #zeichensetzen #demokratie #Gandhi #friedensbewegung #erde",9796
70,2018-04-14T11:00:45.000Z,"Krillöl-Produkte für die Gesundheit? 🤔 Braucht kein Mensch! Es gibt schließlich sehr gute vegane Alternativen. 👌
Für das überflüssige Produkt riskiert die Fischereiindustrie 🚢 das empfindliche Ökosystem in der Antarktis. Lassen wir den Pinguinen, Walen und Robben den Krill! 🐧🐋🦐 Schließ dich unserem Einsatz für das größte Meeresschutzgebiet in der Antarktis an, um sicherzustellen, dass hier keine Krill-Trawler ihr Unwesen treiben können. Die Antarktis-Kommission CCAMLR muss 2018 für ein Schutzgebiet im Weddellmeer stimmen – nur so kann die Gesundheit dieses einzigartigen Ökosystems und der darin lebenden Tiere gewährleistet werden. Den Link zu unserer Petition findest du in der Bio. 🔗 Danke, wenn du bereits unterschrieben hast! 💚
.
.
.
#antarctic #expedition #eis #ewigeseis #antarktis #forschung #antarctica #savetheocean #animalrights #klimawandel #wedellmeer #überfischung #meer #schutzgebiet #protectAntarctic #natur #natureisawesome #schutzdermeere #penguins #arcticsunrise #schiff #greenpeace #umweltschutz #nachhaltigkeit #pinguin",5918
138,2018-01-23T16:06:26.000Z,"Schau mal von wem unsere Arctic Sunrise in der Antarktis begrüßt wird! 😱 🐬🐬 😍 Der kontrastreich gezeichnete Commerson-Delfin, auch als Jacobita oder auch Tonina bekannt, lebt in den Küstengewässern rund um Feuerland und die Falklandinseln. Er gehört zu den kleinsten Walen der Welt und ist immer in einer Kleingruppe unterwegs, die Wissenschaftler als Schule bezeichnen. Gemeinschaftlich jagen sie Krill, Fische und Tintenfische. 🦐🦑🐟Commerson-Delfine sind schnelle Schwimmer, die häufig aus dem Wasser springen und gerne auf den Bugwellen von Schiffen reiten.
Das von uns geforderte größte Meeresschutzgebiet der Welt ist auch für diese Delfine dringend notwendig. Nur so finden sie auch in den nächsten Jahren viel Krill und Fische. Wenn du unsere Arbeit unterstützen möchtest, unterschreibe gerne unsere Petition. 📝 Den Link gibt’s in der Bio. 🔗
.
Video: © Greenpeace
.
#antarctic #expedition #delfin #delfine #antarktis #antarctica #savetheocean #animalrights #klimawandel #wedellmeer #expedition #überfischung #meer #schutzgebiet #wal #springen #protectAntarctic #natur #natureisawesome #schutzdermeere #videooftheday #activism #arcticsunrise #dolphin #schiff #greenpeace #umweltschutz #nachhaltigkeit",5839
200,2017-10-29T09:48:13.000Z,"Es gibt viele Gründe, weniger oder kein Fleisch zu essen. Was sind deine?

#dasissLiebe #gloobyfood #meatfree #meatless #climatechange #foodie #eat #fortheplanet #plantbased #meatfreemonday",5296
58,2018-05-01T09:33:38.000Z,"Ein Zulieferer von Nestlé, Unilever und anderen zerstört in Indonesien 🇮🇩 Regenwald für Palmöl. 🌳🌳 Wir erinnern die Konzerne an ihr Versprechen: Kein Palmöl von Urwald-Zerstörern! Die Ölpalme ist gegenüber anderen Pflanzen sehr ertragreich. Allerdings benötigt sie tiefgründige Böden bei gleichmäßig feucht-warmem Klima. In Indonesien werden hierfür riesige Urwaldflächen (meist illegal) gerodet und Torfmoorböden trockengelegt. Der Palmölboom trug maßgeblich dazu bei, dass Indonesien heute das Land mit der am schnellsten voranschreitenden Urwaldzerstörung geworden ist. Hierdurch rangiert das Land inzwischen auf dem dritten Platz, nach China und USA, der weltweit größten Treibhausgasemittenten. Die Umwandlung von Torfböden hat gravierende Umweltauswirkungen. Da hierbei riesige Mengen an CO2 entweichen. Rund 100 t klimaschädliches CO2 – das ist ca. 10 Mal so viel, wie der Durchschnittsdeutsche im Jahr verursacht. Wenn du mehr darüber wissen willst, folge dem Link in der Bio. 🔦🔗
.
.
#savetheearth #palmoil #paradise #animals #animal #greenpeace #indonesia #westpapua #westneuguinea #tierschutz #klimaschutz #nature #deforestation #animals #palmöl #hornbill #abholzung #animalrights #unilever #mars #nestle #urwald",5246
95,2018-03-15T15:25:18.000Z,"Stück für Stück zum Kohleausstieg. 🍰 Wir haben da was für den frisch gebackenen Wirtschaftsminister Peter Altmaier: Eine Kohlemeiler-Abschalttorte. 🎂 Ein Sahnestück, Geschmacksrichtung Schoko, mit drei Kraftwerken aus Marzipan obendrauf. Wie der schrittweise Ausstieg gelingen kann, hat Greenpeace im „Sofortprogramm Kohle 2018“ dargelegt – das kohle(hydrat)reiche Backwerk soll Altmaier dazu animieren, 💡 das Papier intensiv zu studieren 🙇",4885
141,2018-01-19T14:09:33.000Z,"Haltung zeigen ✊💚 Ist dir schon mal aufgefallen: Jedes Ei trägt eine Nummer. An der ersten Ziffer erkennst du, wie das Huhn gehalten wurde, das das Ei gelegt hat. 0 steht für ökologische Haltung, 3 für Käfighaltung. Bei Fleisch gibt es eine verpflichtende staatliche Kennzeichnung nicht. Gerne verschleiert die Fleischindustrie die Haltebedingungen und das Leid von Tieren. Wer auf Fleisch nicht verzichten will, hat kaum eine Wahlfreiheit. Die Bundesregierung kann das ändern. Eine verpflichtende Haltungskennzeichnung ist auch für Fleisch möglich. Dazu hat Greenpeace heute in einem Gutachten vorgestellt.
.
Greenpeace-Aktivisten haben heute in Berlin für artgerechte Tierhaltung und eine Agrarwende in Deutschland protestiert ✊💚
.
#greenpeace #gruenewoche #factoryfarming #pigs #massentierhaltung #schweine #billigfleisch #animals #loveanimals #animallover #animalrights #veggie #meatfree #savetheplanet #plantbased #fortheplanet #vegetarian #issgutjetzt #IGW2018 #tierhaltung",4665
93,2018-03-17T11:18:24.000Z,"Krill ist gerade mal so groß wie ein Finger, 🦐☝️ aber es ist DIE zentrale Nahrungsquelle für Pinguine 🐧, Wale 🐋 und viele andere Tiere in der Antarktis! Was kein Mensch braucht: Krillöl aus der Antarktis, dies landet in Omega 3-Kapseln, 💊 für die es vegane Alternativen gibt wie Leinöl oder Produkte auf Algenbasis. Für das überflüssige Produkt riskiert die Fischereiindustrie das empfindliche Ökosystem in der Antarktis. Meeresschutzgebiete verhindern, dass die Krillfischerei 🚢 in die eisfreien Gebiete weiter vordringt. Hilf uns, die Fischereiflotten aus dem Weddellmeer 🌊 fernzuhalten! Den Link zur Petition findest du in unserer Bio. 📝
.
#antarctic #expedition #eis #ewigeseis #antarktis #forschung #antarctica #savetheocean #animalrights #klimawandel #wedellmeer #überfischung #meer #schutzgebiet #protectAntarctic #natur #natureisawesome #schutzdermeere #penguins #arcticsunrise #schiff #greenpeace #umweltschutz #nachhaltigkeit #pinguin",4631
180,2017-11-24T14:31:11.000Z,"Heute hast du die Wahl: #BlackFriday oder #Buynothing? Wofür wirst du dich entscheiden?

Uns fällt die Entscheidung heute leicht: #Buynothing, #MakeSmthng! Folge @MakeSmthng um dabei zu sein!

#Makersgonnamake #fairfashion #fashionista #nachhaltigkeit #zerowaste #buylesschoosewell #makeitlast #buyless #wenigeristmehr",4626
