,created_time,message,success
174,2017-08-01T10:59:28.000Z,"Ihr Lieben, ich versuche seit einiger Zeit mit einem schmerzlichen Kapitel abzuschließen. Leider bekomme ich aktuell aber immer mehr Nachfragen in Form von Kommentare (die ich lösche) und Nachrichten mit der Frage wo Diebo oder Bella seien. Ich denke es ist offensichtlich, dass wir getrennt sind. Eigentlich wollte ich dem keinen Post widmen und ich will mich vor allem nicht dazu äußern. Viele werden den Schmerz einer Trennung nachempfinden und vielleicht verstehen, dass ich für mich in Ruhe meinen Frieden finden möchte und nicht pausenlos mit dem Umstand konfrontiert werden will, dass es ist wie es ist. Nun wisst ihr alle Bescheid, ich will keine Mitleidsbekundungen und noch weniger irgendwelche Nachfragen (denn es wird sowieso keine Antworten geben). Bitte respektiert, dass es mir damit nicht gut geht und ich nach vorne blicken will. Danke💖",14315
9,2018-05-30T15:53:04.000Z,"Ich bin über die Wupper; Mein Buch ist bald fertig! Und danach werde ich mich wieder mehr um mich selbst kümmern. Ich sehe immer mehr wie Menschen sich untereinander anfeinden, wie sie über einander lästern und am Ende vor allem mit sich selbst unzufrieden sind. Auch ich habe mich dazu gerne mal hinreißen lassen. Denn über andere zu sprechen bewirkt vor allem eines: Man werter sich selbst auf, indem man andere abwertet. Ein denkbar antisoziales und sehr trauriges Verhalten, dem ich in meinem Leben keinen Raum mehr geben möchte. Ich möchte glücklich sein, mit mir und meiner Umgebung. Menschen um mich wissen, die eine positive Lebenseinstellung haben und nah bei sich sind. Alles andere ist Gift für das eigene Wohlbefinden. Mein Ziel für diesen Sommer🏝Mehr dazu in meiner aktuellen Story💗",13275
76,2018-01-28T19:19:50.000Z,"[Werbung]🌹Gewinnspiel🌹‚OH MEIN GOTT, redet die jetzt wirklich auch noch über Sex und so Schmuddelkram? Ich dachte, die hat mehr Niveau. HA! Genau da ist der Punkt. Oder besser; mein Punkt. Das Thema weiblicher Orgasmus wird so hart totgeschwiegen und leider leiden sehr viele Frauen darunter eben nicht zu kommen, kommen zu können, zu wissen, wie das geht oder wie sich das eigentlich anfühlt. Und genau das ist der Grund, warum ich mich diesem Thema widmen möchte. Mir liegt es nämlich sehr am Herzen, dass auch wir Frauen endlich mal mehr sind als sexualisierte Objekte, die vor allem dazu dienen, Männern möglichst viel Spaß zu bereiten. Überspitzt ausgedrückt, aber leider doch Alltag. Es gibt sehr viele Studien rund um die männliche Sexualität, über die weibliche sind wissenschaftliche Beobachtungen doch eher rar gesät. Woran liegt das?‘
Meine Gedanken zur weiblichen Sexualität und alle Infos zum Gewinnspiel auf meinem Blog (Link in Bio!). Gewinnt einen von zwei @womanizerglobal Starlets.
#werbung",12298
217,2017-04-01T18:21:30.000Z,"Am Montag den 03.04.2017 findet in der Urania Berlin von 17.30-19.30 Uhr eine Talkrunde zum Thema Depression statt. Gemeinsam mit anderen werde ich als Botschafterin der Stiftung Deutsche Depressionshilfe (@stark_gegen_depression) Teil der interaktiven Talkrunde sein und freue mich, euch dort zu sehen💕Vielen Dank an der Stelle an die Gastgeber @freundefuerslebenev 💕",11964
40,2018-04-05T14:35:34.000Z,"[Werbung] Ich brauche eure Hilfe. Für @thenewroseclub suche ich Menschen (die auf Instagram tätig sind), die was bewegen. Die sich engagieren, für etwas einsetzen und für etwas stehen. Was ich nicht suche sind Menschen, die sich ‚Feminist*in‘ auf die Fahne schreiben, einmal im Jahr Betrag x spenden und sonst täglich ihre tollen neue Klamotten in die Kamera halten, die zu unmenschlichen Bedingungen hergestellt wurden und sonst auch eher unglaubwürdig sind. Also Menschen, die das durchaus ernst nehmen und authentisch sind werden gesucht. Da gibt es sicher viele. Mit @thenewroseclub wird es durchgehend ein Soli-Shirt geben und ich suche dafür Kooperationspartner, Anregungen und Ideen. Ich werde die Spenden immer selbst übergeben und das Projekt weiter begleiten. Falls ihr also tolle Meinungsmacher*innen und Orgas kennt, bitte einmal verlinken❤️Merci und danke🌹",11824
130,2017-10-26T15:42:58.000Z,"Hab heute wieder Sendung auf Fritz. 22 Uhr gehts los, ihr könnt auch online reinhören. Heute möchte ich mit euch über Diskriminierung am Arbeitsplatz sprechen und welche Erfahrungen ihr schon mit dem Thema machen musstet. Freue mich.",11242
182,2017-07-17T17:16:15.000Z,"[Werbung] Vor fast vier Jahren war ich das erste Mal im Tierheim Berlin, es ging um ein Interview für den Tierfreund zum Thema Veganismus. Nach dem Interview habe ich eine kleine Führung über das Gelände des größten Tierheims Europas bekommen und war beeindruckt. All das finanziert sich ausschließlich durch Spenden. Im Struppihaus fiel mir ein kleiner weißer Hund mit blauen Augen auf. Ich war blitzverliebt und musste ihn schnell wiedersehen. Einige Tage später zog Rambo bei mir ein. Und das Tierheim Berlin bzw. der @tierschutzberlin wurde zu einer festen Anlaufstelle für mich und ich knüpfte Freundschaften zu Mitarbeitern und Unterstütztern und wurde schließlich selbst immer aktiver. Inzwischen habe ich noch ein Schweinchen adoptiert (als Patenmami) und bin mehr als happy in den sozialen Medien auf diese tolle Institution aufmerksam machen zu können. Und seit gestern bin ich nun ganz offiziell Tierschutzbotschafterin des @tierschutzberlin ✨💖✨Ich freue mich auf all die tollen Aktionen die noch kommen, viele Erfolgsgeschichten und auch den ein oder andere Kampf für die Rechte der Tiere✊️Vielen Dank für diese Ehre🌻 #tierheimberlin #allcreaturesareequal #friendsnotfood #adoptdontshop",11218
223,2017-03-08T14:11:55.000Z,"Heute ist Internationaler Frauen*kampftag und es bestätigt sich leider immer wieder, dass wir noch nicht von Gleichberechtigung sprechen können (siehe meine Instastory). Emanzipation geht uns alle an, wenn Frauen Karriere machen DÜRFEN, MÜSSEN Männer nicht mehr zwingend die Brötchen verdienen. Wenn Frauen nach der Geburt arbeiten gehen WOLLEN, SOLLEN Männer zuhause bleiben dürfen (ohne dabei von den Kollegen als völliger verweichlicht abgestempelt zu werden). Frauenrechte sind Menschenrechte! Ich möchte an dieser Stelle euch diese Bühne hier überlassen. Sagt der Welt und mir wieso wir für Gleichberechtigung kämpfen sollten, schreibt einfach einen Kommentar unter dieses Bild. Natürlich dürfen und sollen Menschen aller Geschlechter hier mitreden! #worldwomensday #weltfrauentag #empowerment #equality",11021
137,2017-10-17T10:35:12.000Z,"#metoo - Ich muss mich dem einfach anschließen, weil das Thema so unfassbar wichtig ist. Auch ich wurde schon mehr als einmal verbal und auch körperlich belästigt und weiß, dass ich damit nicht alleine bin. Es passiert so oft und es ist so schwer sich dagegen zu wehren. Nicht selten wird sexuelle Belästigung abgetan, belächelt und schlichtweg nicht Ernst genommen. Ich möchte nicht ungefragt Penis-Bilder bekommen, ich möchte nicht angefasst werden oder kecke Sprüche über meinen Körper hören, die ganz klar eine sexuelle Intention haben. Mich ekelt das wirklich an und auch wenn ich nackt mit dem Hintern wackel, habe ich nicht danach gefragt. Niemand hat das Recht andere Menschen zu belästigen, aus keinem Grund der Welt. Es ist egal ob im Netz, in der Familie, von Fremden oder sogar in der Partnerschaft (nein heißt nämlich auch hier nein!). Und weil ich damit nicht alleine bin und weiß, dass es wahnsinnig schwer ist etwas dagegen zutun, finde ich diese Aktion mehr als unterstützenswert. Diese Tabuthema muss so präsent sein, dass es endlich mehr als ein 'Kavaliersdelikt' ist eine Person sexuell zu belästigen!

Photo: @patrickcitera",10434
221,2017-03-22T17:30:58.000Z,"Ab April bin ich wieder im Youtube Game und möchte vor allem Videos zu Themen machen die euch und mich interessieren. Deshalb lasst mich gerne wissen, welche Themen ihr gerne sehen wollt. Ich möchte allerdings keine Videos zu meinen Tattoos oder so machen, aber gerne zu sozialen, politischen, kulturellen, ethischen etc. Themen. Freue mich schon total💕

Photo by Schnubbischatz @xdiebox",10375
