,created_time,message,success
207,2017-04-28T16:44:34.000Z,"Letztes Jahr, als das Haar noch grün war✨",23944
35,2018-04-18T15:28:37.000Z,"Das ist eines meiner Lieblingsbilder von mir, denn es zeigt, dass ich alles schaffen kann. Ich hatte meinen Schweinehund überwunden und habe mich zu dieser Zeit besser denn je gefühlt. Nicht, weil mein Äußeres sich verändert hat, vor allem weil ich ausgeglichen war, ein Hobby gefunden habe und auf mich geachtet habe. Leider kam ich raus und der Wiedereinstieg ist schwer. Ich bin aber dabei und ich merke mal wieder, was mir das Training gibt. Ich gehe wieder aufrechter, meine Rückenschmerzen verabschieden sich wieder, ich bin im Geiste fitter und achte wieder auf mich. Das alles mache ich für mich und es fühlt sich gut an. Nicht jede*r muss Sport machen um glücklich zu sein, aber jede*r sollte eine Passion im Leben haben, sich selbst umsorgen und lieben. Das ist nicht immer leicht, aber sowas von wert. Mensch beachte Rambi auf dem Bild❤️😂",18558
50,2018-03-22T20:00:41.000Z,"Im Leben haben wir oft keine Zeit für die Dinge, für die wir brennen. Aber es sollte immer Zeit dafür sein. Ich brenne momentan wirklich für mein Leben; ich habe mich an den Punkt manövriert, an dem ich das machen kann, was mich erfüllt. Wofür brennt ihr?🐲",18145
42,2018-04-03T18:52:15.000Z,"Thema PMDS. Und, Achtung - ehrlich: Ich bin inzwischen echt am Verzweifeln. Seit ca. 2 Jahren habe ich ziemlich heftig PMDS. Früher haben meine Brüste wehgetan vor meiner Periode, oder ich hatte eine Putzattacke nach der anderen. Heute bekomme ich eine Woche vor meiner Periode Depressionen. Egal wie mein Leben grad ist, was alles passiert oder nicht, ich falle rein ins Loch und komme erst zur Regelblutung von ganz alleine wieder raus. Ich leide sehr darunter, weil es für die meisten Menschen absolut nicht nachvollziehbar ist und ich auf viel Unverständnis stoße, weil es mir sonst ja gut geht. Plötzlich überkommen mich diese fiesen Gedanken, ich weine grundlos stundenlang und stelle mein ganzes Sein in Frage. Natürlich habe ich schon einiges versucht, nehme hormonbedingt sogar wieder die Pille. Die hat auch erstmal geholfen, aber es wird wieder schlimmer. Warum ich darüber spreche? Zum einen denke ich, dass ich damit nicht alleine bin und ich habe das Gefühl, das Ganze ist noch für viele Neuland (auch für Ärzte). Zum anderen brauche ich Rat. Wenn ihr selbst darunter leidet; was hat euch geholfen? Ich kann das einfach nicht mehr ertragen. Danke euch für eure Hilfe❤️",17482
71,2018-02-09T15:27:10.000Z,"Crazy, das funktioniert echt. Viele Kommentare helfen, welch ein dämliches System. Habe inzwischen ziemlich viel über die neuen Algorithmen gelesen und tendenziell wird das jetzt wie bei Facebook. Verstehen natürlich nicht alle, warum das ein Problem sein soll. Wer das als geschäftliches Tool nutzt, der weiß was ich meine. Facebook ist ja durch die ganze Optimierung irgendwann gestorben. Ich nutze es persönlich nur noch sehr ungern. Da bekomme ich sowieso nur noch das angezeigt, was Facebook denkt, was ich sehen will. So wird das hier jetzt auch. Gibt es schon geile Alternativen zu Instagram? Ich werde definitiv mehr meinen eigenen Blog pflegen und dort mehr stattfinden. Das habe ich dann wenigstens selbst in der Hand.",16721
91,2017-12-30T17:41:03.000Z,"Aus jeder Scheiße kann mensch etwas für‘s Leben mitnehmen. 2017 war rough, anstrengend und wirklich grenzwertig. Was ich gelernt habe? Tatsächlich auf mich zu hören, negativen Menschen keinen Raum zu geben und mir schon gar nicht Zeit oder Energie nehmen zu lassen. Ich sehe die Dinge gerne positiv und mag es nicht in einem Jammerkreis zu verfallen. Aber da draußen gibt es de facto wahnsinnig egoistische, unemphatische und auch asoziale Menschen (deren Verhalten meist auch nur etwas mit eigenem Unvermögen zutun hat) und diese werde ich mir im kommenden Jahr noch weiter von der Pelle halten. All jene, die mir ins Gesicht lachen und sich an einem Mädchenabend dann mein Instagram vornehmen um sich das Maul zu zerreißen. All jene, die mir in den Arsch kriechen, weil sie letztlich nur irgendetwas wollen. All jene, die illoyal sind. Wer seinen Selbstwert durch die Abwertung von anderen aufzuwerten versucht, ist sehr sehr arm. Aber auch ihr könnt das besser. Auf ein positives neues Jahr, ohne ätzende Menschen🌮Mehr Tacos für alle🌮",15531
72,2018-02-08T18:39:07.000Z,"‚Die meisten Menschen wollen nicht eher schwimmen als bis sie es können. Ist das nicht witzig? Natürlich wollen sie nicht schwimmen! Sie sind ja für den Boden geboren, nicht fürs Wasser. Und natürlich wollen sie nicht denken; sie sind ja fürs Leben geschaffen, nicht fürs Denken!‘ - Hermann Hesse, Der Steppenwolf
Ich fasse nicht, dass ich dieses Werk nicht früher gelesen habe. So ein großartiges Buch. Was sollte ich danach lesen? Homo Faber liegt noch bei mir auf dem Nachtschrank und Dorian Gray.",15371
8,2018-05-31T16:00:11.000Z,"Ich bin gerne nackt! Als Frau ist das schon mächtig skandalös. Nackte Frauen wollen Aufmerksamkeit, Boys impressen, sind leicht zu haben und sowieso alles Schlampen. Frauen und Männer verurteilen vor allem Frauen, die sich in irgendeiner Form gerne nackt oder leicht bekleidet zeigen. Und das sollte absolut nicht der Fall sein. Frauen dürfen sich genauso kleiden, wie sie es wünschen. OHNE SICH DAFÜR RECHTFERTIGEN ZU MÜSSEN! Sie dürfen sexy sein, sie dürfen keinen BH tragen, sie dürfen und sollen sich in ihrer Haut so wohlfühlen, wie sie es selbst wünschen. Kurzer Rock, langer Rock, Hose, alles erlaubt. Selbiges gilt auch für Männer, da ist Nacktheit nur einfach weniger stigmatisiert. In den letzten Jahren habe ich es geschafft, mich so anzunehmen und zu lieben wie ich bin. Und mich einfach wohl zu fühlen und das auch zu zeigen. Jedes Mal wenn ich das mache, gibt es Menschen, die mir das verwehren wollen. Gar untersagen. Die mir Absichten andichten, die sie sich selbst zurecht denken. Und das bewirkt vor allem eins: Auch in Zukunft wird Nacktheit stigmatisiert. Wer nackt ist, will Likes, Aufmerksamkeit und das wars. Ich kann euch sagen: Mit Worten erreicht mensch häufig viel mehr Aufmerksamkeit! Und letztlich sind es die Rezipienten, die Dingen Aufmerksamkeit zu Teil werden lassen. Nicht der nackte Körper ist das Problem, unser Umgang damit. Und solange Frauen noch als ‚Bitch‘ tituliert werden, die sich zeigen wie sie es wollen, haben wir noch eine Menge Arbeit vor uns. #spreadlove #nothate #selflove",15192
174,2017-08-01T10:59:28.000Z,"Ihr Lieben, ich versuche seit einiger Zeit mit einem schmerzlichen Kapitel abzuschließen. Leider bekomme ich aktuell aber immer mehr Nachfragen in Form von Kommentare (die ich lösche) und Nachrichten mit der Frage wo Diebo oder Bella seien. Ich denke es ist offensichtlich, dass wir getrennt sind. Eigentlich wollte ich dem keinen Post widmen und ich will mich vor allem nicht dazu äußern. Viele werden den Schmerz einer Trennung nachempfinden und vielleicht verstehen, dass ich für mich in Ruhe meinen Frieden finden möchte und nicht pausenlos mit dem Umstand konfrontiert werden will, dass es ist wie es ist. Nun wisst ihr alle Bescheid, ich will keine Mitleidsbekundungen und noch weniger irgendwelche Nachfragen (denn es wird sowieso keine Antworten geben). Bitte respektiert, dass es mir damit nicht gut geht und ich nach vorne blicken will. Danke💖",14315
82,2018-01-14T20:50:01.000Z,"Boa, PMS. Der Todeshass und es wird von Jahr zu Jahr schlimmer. Erklär mal einem anderen Menschen, dass du dich und die Welt hasst, den ganzen Tag heulen und schreien willst, aber das eigentlich nichts mit dir zutun hat. Oder mit der anderen Person. Und alles gut ist, eigentlich. Sich zu mögen, wenn mensch so drauf ist, ist gar nicht leicht. Deswegen kann ich mich heute einfach mal selbst nicht leiden und poste ein Bild, auf dem ich mich leiden kann und bei dessen Entstehung ich mich leiden konnte.",13806
