,created_time,message,success
154,2017-09-07T13:04:25.000Z,Heute gibt's ein neues Interview zur #btw17: Jung & Naiv mit Beatrix von Storch (AfD),1612
128,2017-10-29T18:19:40.000Z,"Jung & Naiv #335 ist ab sofort online! Gast ist Eckhardt Rehberg (CDU), Bundestagsabgeordneter für meine mecklenburgische Heimat. Hier gibt’s einen Vorgeschmack...",1598
187,2017-07-27T17:17:12.000Z,"Hey Leute, könnt ihr uns einen guten Grund nennen, warum Ausländer, die seit Jahren in Deutschland leben, bei der Bundestagswahl nicht abstimmen dürfen? Uns fällt keiner ein... Oder anders: Findet ihr es richtig, dass Ausländer KEIN Wahlrecht haben? #keinewahl",1327
2,2018-06-15T14:00:58.000Z,"Frisch im Kasten: Jung & Naiv mit Karamba Diaby (SPD), Bundestagsabgeordneter für Sachsen-Anhalt",401
171,2017-08-06T15:30:27.000Z,Zurück in der Heimat. Zurück bei der besten Oma.,325
62,2018-03-14T16:18:23.000Z,"Frisch im Kasten: Jung & Naiv mit Hilde Mattheis (sPD), Bundestagsabgeordnete und entschiedene Groko-Gegnerin. Am Sonntag geht das launige Interview online!",291
245,2017-05-12T11:15:38.000Z,"Frisch im Kasten: Jung & Naiv mit SPD-Generalsekretärin Katarina Barley (+eure Fragen) @spdde
Kommt Ende Mai!",269
139,2017-10-10T16:27:05.000Z,"Frisch im Kasten: Jung & Naiv mit Philipp Amthor, jüngster neuer Bundestagsabgeordnete der CDU mit 24 Jahren! Ab Sonntag online...",262
146,2017-09-22T16:20:52.000Z,"Zum ""Wahlkampf"" der Kanzlerin #shameshameshame",251
167,2017-08-10T19:42:12.000Z,Frisch im Kasten: Jung & Naiv mit Professorin Ulrike Guerot über die Europäische Republik (und das Ende der Nationalstaaten und damit 🇩🇪),182
