,created_time,message,success
154,2017-09-07T13:04:25.000Z,Heute gibt's ein neues Interview zur #btw17: Jung & Naiv mit Beatrix von Storch (AfD),1612
187,2017-07-27T17:17:12.000Z,"Hey Leute, könnt ihr uns einen guten Grund nennen, warum Ausländer, die seit Jahren in Deutschland leben, bei der Bundestagswahl nicht abstimmen dürfen? Uns fällt keiner ein... Oder anders: Findet ihr es richtig, dass Ausländer KEIN Wahlrecht haben? #keinewahl",1327
65,2018-03-04T13:02:12.000Z,"Ah verstehe, das liegt also nur an der SPD! Mit ner Minderheitenregierung oder bei Neuwahlen wäre ja alles ganz anders gekommen! Vielen dank für diesen qualitativ hochwertigen journalistischen Kommentar!",469
245,2017-05-12T11:15:38.000Z,"Frisch im Kasten: Jung & Naiv mit SPD-Generalsekretärin Katarina Barley (+eure Fragen) @spdde
Kommt Ende Mai!",269
241,2017-05-31T16:33:18.000Z,Frisch im Kasten: Jung & Naiv mit Jürgen Trittin von den Grünen,237
161,2017-08-24T16:23:46.000Z,"Frisch im Kasten: Jung & Naiv mit Cem Özdemir, Parteichef & Spitzenkandidat der Grünen + eure Fragen! #btw17",231
67,2018-02-27T16:19:02.000Z,"Frisch im Kasten: Jung & Naiv mit Gerald Knaus, „Erfinder“ des Flüchtlingsdeals zwischen der EU & der Türkei",189
167,2017-08-10T19:42:12.000Z,Frisch im Kasten: Jung & Naiv mit Professorin Ulrike Guerot über die Europäische Republik (und das Ende der Nationalstaaten und damit 🇩🇪),182
270,2017-02-19T13:40:05.000Z,Was los? Genug von der Welt? Verstecken?,163
76,2018-01-25T18:38:53.000Z,"Frisch im Kasten: Zwei Stunden Jung & Naiv mit „Deutschlands Spitzenökonom“ Marcel Fratzscher, Präsident vom Deutschen Institut für Wirtschaftsforschung",162
